municipality,year,all_female_records,lesao_corporal,violencia_domestica_lesao,estupro,estupro_vulneravel,violencia_sexual,homicidio_mulher,feminicidio,tentativa_feminicidio,selected_vaw_records
PLACAS,2023,94,29,24,2,16,18,0,0,0,42
PONTA DE PEDRAS,2023,211,77,43,2,21,23,1,0,0,66
PORTEL,2023,385,93,58,9,31,40,2,0,0,98
PORTO DE MOZ,2023,225,65,42,4,15,19,2,1,0,62
PRAINHA,2023,127,49,27,6,7,13,2,1,0,41
PRIMAVERA,2023,58,27,22,1,6,7,0,0,0,29
QUATIPURU,2023,72,28,18,2,3,5,0,0,0,23
REDENCAO,2023,774,220,137,9,43,52,4,2,0,191
RIO MARIA,2023,75,21,15,0,9,9,2,0,0,24
RONDON DO PARA,2023,213,64,44,1,21,22,1,0,0,66
RUROPOLIS,2023,97,37,35,1,16,17,0,0,0,52
SALINOPOLIS,2023,558,132,93,8,46,54,1,0,0,147
SALVATERRA,2023,273,88,51,7,27,34,0,0,0,85
SANTA BARBARA DO PARA,2023,157,31,22,5,14,19,2,1,0,42
SANTA CRUZ DO ARARI,2023,50,31,11,0,0,0,0,0,0,11
SANTA IZABEL DO PARA,2023,527,99,56,9,33,42,3,0,0,98
SANTA LUZIA DO PARA,2023,60,20,14,1,7,8,0,0,0,22
SANTA MARIA DAS BARREIRAS,2023,56,28,18,1,8,9,0,0,0,27
SANTA MARIA DO PARA,2023,96,27,16,1,9,10,0,0,0,26
SANTANA DO ARAGUAIA,2023,282,123,95,4,16,20,3,0,0,115
SANTAREM,2023,2273,601,398,36,111,147,8,3,0,548
SANTAREM NOVO,2023,42,19,17,2,4,6,1,0,0,23
SANTO ANTONIO DO TAUA,2023,226,72,52,5,20,25,0,0,0,77
SAO CAETANO DE ODIVELAS,2023,116,37,24,2,20,22,0,0,0,46
SAO DOMINGOS DO ARAGUAIA,2023,69,37,27,2,1,3,1,0,0,30
SAO DOMINGOS DO CAPIM,2023,94,27,17,2,18,20,0,0,0,37
SAO FELIX DO XINGU,2023,398,113,83,17,59,76,3,1,0,160
SAO FRANCISCO DO PARA,2023,73,18,14,0,3,3,0,0,0,17
SAO GERALDO DO ARAGUAIA,2023,115,49,32,1,18,19,0,0,0,51
SAO JOAO DA PONTA,2023,28,5,3,0,2,2,0,0,0,5
SAO JOAO DE PIRABAS,2023,107,32,22,4,16,20,0,0,0,42
SAO JOAO DO ARAGUAIA,2023,48,14,10,1,9,10,1,1,0,21
SAO MIGUEL DO GUAMA,2023,441,132,106,6,35,41,2,2,0,149
SAO SEBASTIAO DA BOA VISTA,2023,150,52,34,2,18,20,0,0,0,54
SAPUCAIA,2023,30,12,8,1,4,5,0,0,0,13
SENADOR JOSE PORFIRIO,2023,108,36,28,6,19,25,0,0,0,53
SOURE,2023,334,141,90,9,8,17,1,1,0,108
TAILANDIA,2023,494,157,127,15,47,62,2,1,0,190
TERRA ALTA,2023,66,23,18,0,6,6,0,0,0,24
TERRA SANTA,2023,151,54,36,4,21,25,0,0,0,61
TOME-ACU,2023,603,176,110,17,80,97,2,0,0,207
TRACUATEUA,2023,127,39,24,1,6,7,0,0,0,31
TRAIRAO,2023,98,42,27,0,19,19,1,0,0,46
TUCUMA,2023,160,29,22,3,27,30,3,1,0,53
TUCURUI,2023,788,182,123,9,73,82,3,2,0,207
ULIANOPOLIS,2023,173,82,66,4,21,25,1,0,0,91
URUARA,2023,227,75,55,8,16,24,3,1,0,80
VIGIA,2023,324,78,42,3,22,25,0,0,0,67
VISEU,2023,230,52,31,4,35,39,3,0,0,70
VITORIA DO XINGU,2023,155,47,30,0,27,27,0,0,0,57
XINGUARA,2023,325,137,110,2,23,25,3,1,0,136
ABAETETUBA,2024,1112,325,179,17,105,122,1,0,0,301
ABEL FIGUEIREDO,2024,36,14,11,2,5,7,1,0,0,18
ACARA,2024,230,62,38,6,41,47,0,0,0,85
AFUA,2024,165,46,38,1,18,19,0,0,0,57
AGUA AZUL DO NORTE,2024,63,22,15,0,12,12,1,0,0,27
ALENQUER,2024,265,84,52,2,23,25,1,1,0,78
ALMEIRIM,2024,172,57,33,0,27,27,1,0,0,60
ALTAMIRA,2024,803,291,204,11,54,65,4,0,0,269
ANAJAS,2024,177,61,33,4,19,23,0,0,0,56
ANANINDEUA,2024,5802,836,460,43,164,207,4,1,0,668
ANAPU,2024,162,54,41,4,19,23,1,1,0,65
AUGUSTO CORREA,2024,182,44,33,2,22,24,0,0,0,57
AURORA DO PARA,2024,77,34,18,1,6,7,1,1,0,26
AVEIRO,2024,29,8,6,0,5,5,1,1,0,12
BAGRE,2024,153,33,16,2,24,26,0,0,0,42
BAIAO,2024,220,82,50,2,13,15,1,0,0,65
BANNACH,2024,8,3,0,0,3,3,0,0,0,3
BARCARENA,2024,1019,241,171,20,97,117,1,1,0,289
BELEM,2024,20400,2612,1483,146,478,624,20,2,1,2110
BELTERRA,2024,100,30,18,2,11,13,1,1,0,32
BENEVIDES,2024,525,108,65,8,47,55,0,0,0,120
BOM JESUS DO TOCANTINS,2024,82,28,23,1,9,10,0,0,0,33
BONITO,2024,41,13,8,2,1,3,0,0,0,11
BRAGANCA,2024,826,174,105,4,50,54,1,1,0,160
BRASIL NOVO,2024,87,30,24,4,17,21,1,0,0,45
BREJO GRANDE DO ARAGUAIA,2024,31,19,12,0,5,5,0,0,0,17
BREU BRANCO,2024,198,55,33,7,29,36,1,0,0,69
BREVES,2024,730,191,122,16,67,83,3,1,0,206
BUJARU,2024,115,46,29,3,16,19,0,0,0,48
CACHOEIRA DO ARARI,2024,137,72,33,2,12,14,0,0,0,47
CACHOEIRA DO PIRIA,2024,49,18,13,3,7,10,0,0,0,23
CAMETA,2024,666,207,116,14,60,74,0,0,0,190
CANAA DOS CARAJAS,2024,690,228,164,7,44,51,3,1,0,216
CAPANEMA,2024,470,120,91,3,35,38,1,0,0,129
CAPITAO POCO,2024,177,77,46,1,18,19,1,0,0,65
CASTANHAL,2024,2234,395,279,33,79,112,2,0,0,391
CHAVES,2024,64,36,19,1,11,12,0,0,0,31
COLARES,2024,52,21,12,1,3,4,0,0,0,16
CONCEICAO DO ARAGUAIA,2024,260,102,75,3,16,19,3,0,0,94
CONCORDIA DO PARA,2024,227,61,40,2,23,25,0,0,0,65
CUMARU DO NORTE,2024,71,42,24,1,5,6,0,1,0,31
CURIONOPOLIS,2024,113,34,23,3,12,15,0,0,0,38
CURRALINHO,2024,275,79,37,3,19,22,1,0,0,59
CURUA,2024,72,28,17,1,2,3,0,0,0,20
CURUCA,2024,275,41,18,2,17,19,1,0,0,37
DOM ELISEU,2024,158,39,21,4,36,40,1,1,0,62
ELDORADO DOS CARAJAS,2024,129,46,32,4,15,19,1,0,0,51
FARO,2024,79,42,30,4,10,14,0,0,0,44
FLORESTA DO ARAGUAIA,2024,74,32,22,1,15,16,5,3,0,41
GARRAFAO DO NORTE,2024,88,35,28,1,16,17,1,0,0,45
GOIANESIA DO PARA,2024,130,43,31,2,17,19,1,0,0,50
GURUPA,2024,115,48,28,2,11,13,0,0,0,41
IGARAPE-ACU,2024,241,69,39,2,18,20,0,0,0,59
IGARAPE-MIRI,2024,259,79,62,7,23,30,0,0,0,92
INHANGAPI,2024,71,27,9,3,8,11,0,0,0,20
IPIXUNA DO PARA,2024,184,70,44,4,18,22,1,0,0,66
IRITUIA,2024,79,22,13,4,7,11,1,0,0,24
ITAITUBA,2024,1187,314,215,16,69,85,2,1,0,301
ITUPIRANGA,2024,247,71,55,3,8,11,0,0,0,66
JACAREACANGA,2024,89,43,29,1,7,8,1,0,0,37
JACUNDA,2024,191,73,51,1,18,19,2,1,0,71
JURUTI,2024,397,109,71,5,28,33,0,0,0,104
LIMOEIRO DO AJURU,2024,123,54,31,1,9,10,0,0,0,41
MAE DO RIO,2024,116,28,17,3,15,18,1,1,0,36
MAGALHAES BARATA,2024,38,12,7,1,6,7,0,0,0,14
MARABA,2024,2084,531,367,37,118,155,10,2,0,524
MARACANA,2024,167,61,33,3,12,15,1,0,0,48
MARAPANIM,2024,194,49,28,3,15,18,1,1,0,47
MARITUBA,2024,1033,172,112,13,42,55,1,1,0,168
MEDICILANDIA,2024,105,36,25,1,26,27,0,0,0,52
MELGACO,2024,124,57,24,2,7,9,1,0,0,33
MOCAJUBA,2024,189,88,50,2,9,11,1,0,0,61
MOJU,2024,392,109,73,8,65,73,1,0,0,146
MOJUI DOS CAMPOS,2024,52,22,17,2,7,9,1,0,0,26
MONTE ALEGRE,2024,247,83,55,5,17,22,0,0,0,77
MUANA,2024,254,111,69,8,22,30,1,0,0,99
NOVA ESPERANCA DO PIRIA,2024,49,23,16,3,6,9,0,0,0,25
