UF,Município,Nome do Serviço,Categoria Padronizada,Telefone,Endereço do Serviço,Situação da Transcrição,Observações
PA,Barcarena,Coordenadoria Municipal dos Direitos da Mulher,Coordenadoria/Política para Mulheres,(93) 9919-57656,"Rua Eça de Queiroz (9ª Rua), 420, Bairro Bela Vista",Completo,
PA,Barcarena,Delegacia Especializada de Atendimento à Mulher (DEAM),Delegacia especializada,(91) 98537-9834,"Av. João Paulo II, 369, Tancêdo Neves",Completo,
PA,Barcarena,Hospital Municipal Wandick Gutierrez,Serviço de Saúde,(91) 3753-2921,"Tv. Santo Antônio, entre João Pantoja e Tomé Serra, 356, Centro, em frente à praça",Completo,
PA,Belém,1ª Promotoria de Justiça da Violência Doméstica e Familiar contra a Mulher,Promotoria especializada,(91) 4006-3662,"Travessa Joaquim Távora, nº 412, Bairro Cidade Velha",Completo,
PA,Belém,1ª Vara do Juizado de Violência Doméstica e Familiar contra a Mulher,Juizado/Vara especializada,(91) 3205-2126,"Rua Tomázia Perdigão, nº 310, Bairro Cidade Velha, Fórum Criminal da Comarca de Belém",Completo,
PA,Belém,2ª Promotoria de Justiça da Violência Doméstica e Familiar contra a Mulher,Promotoria especializada,(91) 4006-3662,"Travessa Joaquim Távora, nº 412, Bairro Cidade Velha",Completo,
PA,Belém,2ª Vara do Juizado de Violência Doméstica e Familiar contra a Mulher,Juizado/Vara especializada,(91) 3205-2142,"Rua Tomázia Perdigão, nº 260, Cidade Velha, Fórum Romão Amoedo Neto",Completo,
PA,Belém,3ª Promotoria de Justiça da Violência Doméstica e Familiar contra a Mulher,Promotoria especializada,(91) 4006-3674,"Travessa Joaquim Távora, nº 412, Bairro Cidade Velha",Completo,
PA,Belém,3ª Vara de Violência Doméstica e Familiar contra a Mulher,Juizado/Vara especializada,(91) 3205-2196,"Rua Tomázia Perdigão, 310, Bairro Cidade Velha, Largo de São João",Completo,
PA,Belém,4ª Promotoria de Justiça da Violência Doméstica e Familiar contra a Mulher,Promotoria especializada,(91) 4006-3674,"Travessa Joaquim Távora, nº 412, Bairro Cidade Velha",Completo,
PA,Belém,Abrigo Estadual de Mulheres em Situação de Violência Doméstica e Familiar,Casa Abrigo,SIGILOSO,SIGILOSO,Sigiloso,
PA,Belém,DEAM Virtual,Delegacia especializada,(91) 98561-7586,"Avenida Governador Magalhães Barata, nº 209, Bloco B, prédio da Delegacia Geral, Bairro Nazaré, Belém/PA",Completo,
PA,Belém,Delegacia Especializada de Atendimento à Mulher (DEAM),Delegacia especializada,(91) 99989-6332,"Travessa Mauriti, nº 2.394, entre as avenidas Rômulo Maiorana e Duque de Caxias, sede do PARAPAZ Mulher, Bairro Marco, Belém/PA",Completo,Primeira ocorrência da DEAM de Belém visível na Lista Simplificada.
