municipality_code,municipality,mean_priority_score,mean_priority_rank,top_quartile_frequency,priority_stability_profile,female_population_2022,selected_vaw_records_2022_2025,mean_annual_selected_vaw_rate_per_100k_women,rate_2022,rate_2023,rate_2024,rate_2025,rate_linear_slope_per_year,rate_cv,years_at_or_above_state_median,contextual_pattern
1504406,Marapanim,0.5073868051140777,66.45833333333333,0,intermediate_or_scenario_sensitive,12926,180,348.13554077054,263.0357419155191,402.28995822373514,363.6082314714529,363.6082314714529,26.303574191551906,0.14824071182362594,3,other_priority_lower_observed_rate
1508308,Viseu,0.518998505655809,66.91666666666667,0,intermediate_or_scenario_sensitive,28220,262,232.10489014883063,180.72289156626508,248.05102763997164,223.2459248759745,276.3997165131113,26.22253720765415,0.15132998169159548,0,other_priority_lower_observed_rate
1503044,Floresta do Araguaia,0.504473052200325,69,0,intermediate_or_scenario_sensitive,8400,158,470.2380952380952,380.95238095238096,535.7142857142857,488.0952380952381,476.19047619047626,23.80952380952383,0.11941748268426078,4,other_priority_higher_observed_rate
1506104,Primavera,0.496676555767465,70.0625,0,intermediate_or_scenario_sensitive,5369,84,391.1342894393742,372.5088470851183,540.1378282734214,260.7561929595828,391.13428943937424,-22.35053082510708,0.2542161488578883,3,other_priority_higher_observed_rate
1506187,Rondon do Pará,0.49236479009206285,72.0625,0,intermediate_or_scenario_sensitive,25787,320,310.2338387559623,329.62345367820996,255.9429169736689,298.60006980261375,356.76891456935664,12.409353550238489,0.12086924753633571,1,other_priority_lower_observed_rate
1502855,Curuá,0.4895678353160478,72.58333333333333,0,intermediate_or_scenario_sensitive,6779,70,258.15016964154006,118.01150612184689,324.5316418350789,295.0287653046172,295.0287653046172,50.15489010178492,0.3168724716116976,0,other_priority_lower_observed_rate
1500958,Aurora do Pará,0.49939100877558484,73.625,0,intermediate_or_scenario_sensitive,11695,112,239.4185549380077,290.7225309961522,247.96921761436514,222.31722958529286,196.6652415562206,-30.782385634886715,0.14507211436849934,0,other_priority_lower_observed_rate
1504307,Maracanã,0.48450354359445275,74.64583333333333,0,intermediate_or_scenario_sensitive,12679,191,376.60698793280227,331.25640823408787,457.44932565659747,378.578752267529,339.1434655729947,-5.520940137234788,0.13276149039901528,3,other_priority_higher_observed_rate
1504505,Melgaço,0.47694456217183495,75.35416666666667,0,intermediate_or_scenario_sensitive,13313,150,281.6795613310298,322.99256365958087,338.01547359723577,247.87801397130627,217.8321940959964,-40.56185683166829,0.17838784213679534,0,other_priority_lower_observed_rate
1506708,Santana do Araguaia,0.4858776702622465,76.1875,0,intermediate_or_scenario_sensitive,15740,439,697.2681067344346,717.9161372299873,730.6226175349428,692.5031766200763,648.0304955527318,-24.777636594663285,0.04527245310786287,4,other_priority_higher_observed_rate
1502905,Curuçá,0.4781068258340985,76.41666666666667,0,intermediate_or_scenario_sensitive,20517,198,241.2633425939465,346.05449139737783,219.33031144904226,180.33825608032365,219.33031144904226,-41.91645952137253,0.2593029828887563,1,other_priority_lower_observed_rate
1504059,Mãe do Rio,0.47643627416354706,77.8125,0,intermediate_or_scenario_sensitive,17466,180,257.64342150463756,303.44669643879536,291.9958777052559,206.11473720371006,229.01637467078896,-30.917210580556503,0.1594744454934147,0,other_priority_lower_observed_rate
1504604,Mocajuba,0.4751412728685456,78.54166666666667,0,intermediate_or_scenario_sensitive,13398,202,376.9219286460666,306.01582325720256,291.0882221227049,455.2918346021794,455.2918346021794,61.2031646514405,0.20839173445395232,2,other_priority_higher_observed_rate
1500503,Almeirim,0.4694432671705398,80.25,0,intermediate_or_scenario_sensitive,16633,235,353.21349125232973,366.74081644922745,336.6800937894547,360.7286719172729,348.7043828533638,-3.006072265977269,0.03268572658667492,2,other_priority_higher_observed_rate
1504703,Moju,0.46919923085653426,80.66666666666667,0,intermediate_or_scenario_sensitive,40213,565,351.25456941784995,348.1461219008778,343.17260587372243,363.066669982344,350.63287991445554,2.7354338149354818,0.02086694888947186,2,other_priority_higher_observed_rate
1500206,Acará,0.46276223776223785,82.85416666666667,0,intermediate_or_scenario_sensitive,28472,357,313.4658611969654,323.12447316661985,365.2711435796572,298.53891542568135,266.92891261590336,-23.53189098061253,0.11464079512426398,0,other_priority_lower_observed_rate
1507409,São Francisco do Pará,0.4634862612135339,83.1875,0,intermediate_or_scenario_sensitive,7348,65,221.14861186717474,176.91888949373978,231.35547087642897,258.57376156777354,217.74632553075668,14.970059880239527,0.13323467750529827,0,other_priority_lower_observed_rate
1506203,Salinópolis,0.46173800946528215,83.85416666666667,0,intermediate_or_scenario_sensitive,22189,508,572.3556717292352,473.20744513047003,662.4904231826581,585.8758844472486,567.848934156564,20.730992834287253,0.11771587706870912,4,other_priority_higher_observed_rate
1508209,Vigia,0.4599897577170304,84.83333333333333,0,intermediate_or_scenario_sensitive,25137,288,286.4303616183316,246.64836694911884,266.5393642837252,314.2777578867805,318.2559573537017,26.25611648168039,0.10713367097598273,0,other_priority_lower_observed_rate
1507953,Tailândia,0.45675225447952733,85.375,0,intermediate_or_scenario_sensitive,35923,648,450.9645630932829,406.42485315814383,528.9090554797763,425.91097625476715,442.6133674804443,0.5567463741892311,0.10375145872821986,4,other_priority_higher_observed_rate
1501907,Bujaru,0.45057627557627566,85.41666666666667,0,intermediate_or_scenario_sensitive,12030,158,328.3458021612635,324.18952618453864,299.25187032418955,399.002493765586,290.93931837073984,5.684341886080802e-15,0.12970823754379232,2,other_priority_lower_observed_rate
1508357,Vitória do Xingu,0.4490222740222742,86.04166666666667,0,intermediate_or_scenario_sensitive,7576,241,795.274551214361,950.3695881731784,752.375923970433,699.5776135163675,778.7750791974656,-56.75818373812037,0.1181662312522667,4,other_priority_higher_observed_rate
1505486,Pacajá,0.44849098287555905,87.875,0,intermediate_or_scenario_sensitive,19465,275,353.19804777806314,375.03210891343434,380.16953506293345,303.1081428204469,354.482404315438,-13.871050603647564,0.08628225831057947,2,other_priority_higher_observed_rate
1503903,Juruti,0.447325481710058,88.16666666666667,0,intermediate_or_scenario_sensitive,24727,460,465.0786589557973,562.1385529987464,465.0786589557973,420.59287418611234,412.50454968253325,-49.33877947183244,0.1279472953874971,4,other_priority_higher_observed_rate
1501782,Breu Branco,0.4491647241647241,88.39583333333333,0,intermediate_or_scenario_sensitive,22612,303,334.9991155138864,300.7252786131258,340.5271537236865,305.1477091809659,393.59632053776755,24.323368123120463,0.1109912324805296,1,other_priority_lower_observed_rate
1502954,Eldorado do Carajás,0.4196375173647901,91.77083333333333,0,intermediate_or_scenario_sensitive,13749,227,412.75729143937735,392.75583678813,349.1162993672267,370.9360680776783,538.2209615244744,45.82151429194849,0.17943094144860175,3,other_priority_higher_observed_rate
1507979,Terra Santa,0.4373654964564057,92.16666666666667,0,intermediate_or_scenario_sensitive,9263,186,501.9971931339739,313.0735182986074,658.5339522832775,539.7819281010471,496.5993738529634,43.18255424808378,0.24731182795698917,3,other_priority_higher_observed_rate
1506005,Prainha,0.4278737256009983,95.04166666666667,0,intermediate_or_scenario_sensitive,17110,199,290.76563413208646,222.09234365867914,239.6259497369959,374.0502630040912,327.29398012857973,45.00292226767971,0.21479105802173384,1,other_priority_lower_observed_rate
1504422,Marituba,0.42753820253820246,95.33333333333333,0,intermediate_or_scenario_sensitive,57093,739,323.59483649484173,322.28119033857035,310.0204928800378,294.25673900478165,367.8209237559771,12.08554463769641,0.08466841792130267,1,other_priority_lower_observed_rate
1501105,Bagre,0.4018312495585223,96.35416666666667,0,intermediate_or_scenario_sensitive,15639,182,290.9393183707398,191.82812200268557,402.8390562056398,268.5593708037598,300.53072447087413,19.182812200268568,0.2602795446665278,1,other_priority_lower_observed_rate
1502301,Capitão Poço,0.41340973840973855,96.39583333333333,0,intermediate_or_scenario_sensitive,27835,260,233.5189509610203,226.33375246991199,244.29674869768277,233.51895096102032,229.92635171546613,-2.842170943040401e-15,0.02878197989826109,0,other_priority_lower_observed_rate
1508084,Tucumã,0.41153198653198647,96.97916666666667,0,intermediate_or_scenario_sensitive,19793,194,245.03612388218056,131.35957156570504,267.77143434547565,293.03289041580354,287.98059920173796,49.51245389784266,0.27060628347230276,0,other_priority_lower_observed_rate
1508035,Tracuateua,0.4031910009182736,97.79166666666667,0,intermediate_or_scenario_sensitive,13891,137,246.56252249658053,259.16060758764667,223.16607875602907,280.75732488661725,223.16607875602907,-5.039234036426461,0.09981601701589306,0,other_priority_lower_observed_rate
1502004,Cachoeira do Arari,0.40452426361517274,99.70833333333333,0,intermediate_or_scenario_sensitive,11855,220,463.93926613243354,472.3745255166597,582.0328975115985,396.457191058625,404.8924504428511,-38.802193167439924,0.16006197146962745,4,other_priority_higher_observed_rate
1500305,Afuá,0.3912769890042617,99.95833333333333,0,intermediate_or_scenario_sensitive,18057,200,276.900924849089,215.98272138228944,238.13479537021652,315.66705432796147,337.8191283158886,44.304147975854235,0.18439088914585774,0,other_priority_lower_observed_rate
1503101,Gurupá,0.39037048809776076,100.70833333333333,0,intermediate_or_scenario_sensitive,15079,149,247.03229657139065,145.8982691159891,344.8504542741561,271.90131971616154,225.4791431792559,16.579348763180583,0.29246655797987825,0,other_priority_lower_observed_rate
1504976,Nova Ipixuna,0.3923779881262006,100.95833333333333,0,intermediate_or_scenario_sensitive,6661,91,341.54030926287345,330.28073862783367,390.33178201471253,345.29349947455336,300.25521693439424,-13.511484762047747,0.09516762678949878,2,other_priority_lower_observed_rate
1506559,Santa Luzia do Pará,0.39170375079465997,103.5,0,intermediate_or_scenario_sensitive,10130,95,234.45212240868707,236.92003948667323,217.17670286278383,266.53504442250744,217.17670286278383,-0.9871668311944604,0.08616160812497317,0,other_priority_lower_observed_rate
