municipality_code,municipality,method,mean_score,mean_rank,best_rank,worst_rank,top_10_frequency,top_quartile_frequency
1505437,Ourilândia do Norte,promethee_ii,0.7192679717401038,29.520833333333332,7,69,0.041666666666666664,0.6041666666666666
1505437,Ourilândia do Norte,topsis,0.5642194040982585,40.833333333333336,14,67,0.0,0.4375
1505486,Pacajá,additive,0.448490982875559,87.875,70,109,0.0,0.0
1505486,Pacajá,promethee_ii,0.4118323888512799,95.75,60,125,0.0,0.0
1505486,Pacajá,topsis,0.40497295444216347,97.27083333333333,67,124,0.0,0.0
1505494,Palestina do Pará,additive,0.5835886251795342,45.770833333333336,11,74,0.0,0.25
1505494,Palestina do Pará,promethee_ii,0.5400757281747688,67.25,35,93,0.0,0.041666666666666664
1505494,Palestina do Pará,topsis,0.6164291036739699,36.0,8,73,0.25,0.5
1505502,Paragominas,additive,0.20723018138748475,135.10416666666666,130,140,0.0,0.0
1505502,Paragominas,promethee_ii,0.10317623180097031,137.04166666666666,132,140,0.0,0.0
1505502,Paragominas,topsis,0.17295098511212934,137.41666666666666,131,142,0.0,0.0
1505536,Parauapebas,additive,0.3028691190208044,122.47916666666667,100,131,0.0,0.0
1505536,Parauapebas,promethee_ii,0.3408943591697186,109.83333333333333,63,130,0.0,0.0
1505536,Parauapebas,topsis,0.29788337592961084,117.70833333333333,74,133,0.0,0.0
1505551,Pau DArco,additive,0.7551199642108734,8.833333333333334,4,21,0.6458333333333334,1.0
1505551,Pau DArco,promethee_ii,0.8346710136833212,10.3125,3,28,0.625,1.0
1505551,Pau DArco,topsis,0.7740980948495079,5.104166666666667,2,19,0.9375,1.0
1505601,Peixe-Boi,additive,0.6557109557109557,26.791666666666668,17,38,0.0,0.9791666666666666
1505601,Peixe-Boi,promethee_ii,0.7544834482074304,21.9375,6,44,0.08333333333333333,0.8541666666666666
1505601,Peixe-Boi,topsis,0.6488835756039051,20.770833333333332,10,49,0.020833333333333332,0.9166666666666666
1505635,Piçarra,additive,0.6376678792587883,32.875,8,63,0.22916666666666666,0.4583333333333333
1505635,Piçarra,promethee_ii,0.5695591273649014,60.875,28,100,0.0,0.22916666666666666
1505635,Piçarra,topsis,0.6536321102211606,28.208333333333332,6,75,0.3541666666666667,0.5625
1505650,Placas,additive,0.5573091050363778,52.4375,39,76,0.0,0.0
1505650,Placas,promethee_ii,0.6357456267060562,45.6875,27,77,0.0,0.25
1505650,Placas,topsis,0.5577015272119294,45.333333333333336,31,81,0.0,0.3333333333333333
1505700,Ponta de Pedras,additive,0.31057191966282877,122.89583333333333,108,129,0.0,0.0
1505700,Ponta de Pedras,promethee_ii,0.3450762909793342,110.39583333333333,69,127,0.0,0.0
1505700,Ponta de Pedras,topsis,0.31992477756126714,115.5,88,129,0.0,0.0
1505809,Portel,additive,0.6007628734901462,42.916666666666664,26,68,0.0,0.3958333333333333
1505809,Portel,promethee_ii,0.5907601744620165,56.104166666666664,20,96,0.0,0.1875
1505809,Portel,topsis,0.5247818385954391,54.833333333333336,31,91,0.0,0.25
1505908,Porto de Moz,additive,0.3162616381462143,120.875,97,128,0.0,0.0
1505908,Porto de Moz,promethee_ii,0.2610895663482713,121.54166666666667,79,132,0.0,0.0
1505908,Porto de Moz,topsis,0.2926090773810926,122.35416666666667,81,130,0.0,0.0
1506005,Prainha,additive,0.4278737256009983,95.04166666666667,72,116,0.0,0.0
1506005,Prainha,promethee_ii,0.3726915773123118,105.41666666666667,78,125,0.0,0.0
1506005,Prainha,topsis,0.3982995507699431,98.85416666666667,74,126,0.0,0.0
1506104,Primavera,additive,0.49667655576746483,70.0625,53,91,0.0,0.0
1506104,Primavera,promethee_ii,0.5620310650699116,61.916666666666664,38,96,0.0,0.0
1506104,Primavera,topsis,0.46641991727325777,71.3125,46,102,0.0,0.0
1506112,Quatipuru,additive,0.7316433566433567,9.8125,6,20,0.6875,1.0
1506112,Quatipuru,promethee_ii,0.8454560823581098,9.145833333333334,3,31,0.75,1.0
