municipality_code,municipality,road_federal_km,road_state_km,road_other_km,road_paved_km,road_unpaved_km,road_total_km,road_mapped_presence,road_federal_presence,road_state_presence,municipality_area_km2,road_density_km_per_1000_km2,distance_to_mapped_road_km,port_count,port_presence,distance_to_port_km,decea_airport_count,decea_airport_presence,distance_to_decea_airport_km,passenger_crossing_km,passenger_crossing_presence,distance_to_passenger_crossing_km,navigated_waterway_km,navigated_waterway_presence,distance_to_navigated_waterway_km
1506609,Santa Maria do Pará,36.598271,13.124339,205.003057,47.353764,172.870122,254.725668,1,1,1,460.6682,552.948234,0.40163,0,0,26.798015,0,0,39.801442,0.0,0,156.090155,0.0,0,26.584795
1506708,Santana do Araguaia,173.328211,30.272735,1200.489916,177.444236,649.583339,1404.090861,1,1,1,11611.477285,120.922672,3.558852,0,0,63.384629,20,1,12.104128,7.415189,1,54.675811,0.0,0,460.479047
1506807,Santarém,36.052231,114.095288,1133.839616,761.277027,71.744245,1283.987135,1,1,1,17904.710793,71.712252,36.087572,30,1,83.780634,4,1,61.077755,0.0,0,184.60863,246.4649,1,47.210767
1506906,Santarém Novo,0.0,26.260744,53.920179,22.281131,53.32748,80.180924,1,0,1,231.071177,346.996647,0.311719,1,1,6.797677,0,0,22.771752,0.0,0,139.067923,0.0,0,81.545454
1507003,Santo Antônio do Tauá,0.0,54.755652,105.698715,87.691747,46.334995,160.454367,1,0,1,540.411089,296.911686,0.053733,1,1,9.189195,0,0,11.152736,0.0,0,223.677416,0.0,0,35.449223
1507102,São Caetano de Odivelas,0.0,9.011983,130.498284,46.911938,42.118985,139.510267,1,0,1,466.7098,298.922944,0.114293,0,0,25.228216,0,0,30.48066,0.0,0,215.649881,0.0,0,32.462847
1507151,São Domingos do Araguaia,43.678535,0.0,102.895428,43.678535,85.349926,146.573963,1,1,0,1398.340539,104.819934,3.302095,0,0,36.796229,0,0,33.509559,0.0,0,33.516619,0.0,0,59.318562
1507201,São Domingos do Capim,0.0,66.62482,468.075793,2.195493,409.724332,534.700614,1,0,1,1696.787379,315.125289,3.418371,1,1,10.511963,0,0,41.941519,0.0,0,151.699088,48.844712,1,11.194417
1507300,São Félix do Xingu,0.0,50.301258,3048.416542,1391.427546,631.8447,3098.7178,1,0,1,84255.643708,36.77757,23.894833,1,1,104.881397,24,1,21.882916,0.0,0,334.003268,0.0,0,429.156939
1507409,São Francisco do Pará,21.668067,32.858819,234.268142,40.158348,193.308363,288.795028,1,1,1,482.312219,598.771951,0.279937,0,0,42.182685,0,0,23.435116,0.0,0,179.625898,0.0,0,40.926504
1507458,São Geraldo do Araguaia,49.908089,27.478869,410.736867,18.304315,307.183192,488.123825,1,1,1,3181.657007,153.418116,6.724676,0,0,35.994143,0,0,37.242645,0.813761,1,34.247218,0.0,0,100.872161
1507466,São João da Ponta,0.0,14.853626,30.984503,0.0,29.697261,45.83813,1,0,1,197.010905,232.667982,1.817172,0,0,20.552091,0,0,38.335308,0.0,0,206.923431,0.0,0,40.627074
1507474,São João de Pirabas,0.0,70.216824,98.023837,43.540719,107.781123,168.240661,1,0,1,672.770358,250.071453,0.799531,0,0,22.008871,0,0,15.447313,0.0,0,130.190507,0.0,0,99.381556
